"sep=,"
Ranking
RANK,STA#,RUN#,BIB#,"AGE CAT",NAME,SKI#,"INTER 1","INTER 1 DIFF","INTER 1 DSQ","INTER 1 RANK","INTER 2","INTER 2 DIFF","INTER 2 DSQ","INTER 2 RANK","SECTION IM1-IM2","SECTION IM1-IM2 DIFF","SECTION IM1-IM2 RANK","INTER 3","INTER 3 DIFF","INTER 3 DSQ","INTER 3 RANK","SECTION IM2-IM3","SECTION IM2-IM3 DIFF","SECTION IM2-IM3 RANK","INTER 4","INTER 4 DIFF","INTER 4 DSQ","INTER 4 RANK","SECTION IM3-IM4","SECTION IM3-IM4 DIFF","SECTION IM3-IM4 RANK",FINISH,"FINISH DIFF","FINISH DSQ","SECTION IM4-FINISH","SECTION IM4-FINISH DIFF","SECTION IM4-FINISH RANK",COMMENT
2,15,8,2,,"TAJET Simen",,"0,30","'+0,02",,2,"6,99","'+0,18",,5,"6,69","'+0,16",5,"11,50","'+0,17",,3,"4,51","'+0,00",1,"19,50","'+0,09",,2,"8,00","'+0,00",1,"19,85","'+0,08",,"0,35","'+0,00",1,9
3,3,1,2,,"TAJET Simen",,"0,30","'+0,02",,2,"6,97","'+0,16",,4,"6,67","'+0,14",4,"11,50","'+0,17",,3,"4,53","'+0,02",4,"19,61","'+0,20",,3,"8,11","'+0,11",3,"19,97","'+0,20",,"0,36","'+0,01",4,9
4,9,5,2,,"TAJET Simen",,"0,30","'+0,02",,2,"6,99","'+0,18",,5,"6,69","'+0,16",5,"11,52","'+0,19",,5,"4,53","'+0,02",4,"19,63","'+0,22",,4,"8,11","'+0,11",3,"19,98","'+0,21",,"0,35","'+0,00",1,9
5,19,10,2,,"TAJET Simen",,"0,31","'+0,03",,13,"6,94","'+0,13",,2,"6,63","'+0,10",2,"11,45","'+0,12",,2,"4,51","'+0,00",1,"19,80","'+0,39",,5,"8,35","'+0,35",6,"20,15","'+0,38",,"0,35","'+0,00",1,1
6,17,9,2,,"TAJET Simen",,"0,32","'+0,04",,19,"7,01","'+0,20",,7,"6,69","'+0,16",5,"11,59","'+0,26",,6,"4,58","'+0,07",6,"19,93","'+0,52",,6,"8,34","'+0,34",5,"20,29","'+0,52",,"0,36","'+0,01",4,1
7,7,3,2,,"TAJET Simen",,"0,32","'+0,04",,19,"6,96","'+0,15",,3,"6,64","'+0,11",3,"11,59","'+0,26",,6,"4,63","'+0,12",7,"20,02","'+0,61",,7,"8,43","'+0,43",7,"20,38","'+0,61",,"0,36","'+0,01",4,1
8,10,4,1,,"LOSNEGARD Thomas",,"0,30","'+0,02",,2,"7,12","'+0,31",,9,"6,82","'+0,29",9,"11,81","'+0,48",,8,"4,69","'+0,18",8,"20,30","'+0,89",,8,"8,49","'+0,49",8,"20,67","'+0,90",,"0,37","'+0,02",8,9
9,16,7,1,,"LOSNEGARD Thomas",,"0,30","'+0,02",,2,"7,11","'+0,30",,8,"6,81","'+0,28",8,"11,82","'+0,49",,9,"4,71","'+0,20",9,"20,34","'+0,93",,9,"8,52","'+0,52",9,"20,71","'+0,94",,"0,37","'+0,02",8,9
10,2,1,1,,"LOSNEGARD Thomas",ABC,"0,30","'+0,02",,2,"7,13","'+0,32",,10,"6,83","'+0,30",10,"11,86","'+0,53",,10,"4,73","'+0,22",10,"20,46","'+1,05",,10,"8,60","'+0,60",10,"20,84","'+1,07",,"0,38","'+0,03",10,9
12,20,9,1,,"LOSNEGARD Thomas",,"0,31","'+0,03",,13,"7,18","'+0,37",,11,"6,87","'+0,34",11,"11,92","'+0,59",,11,"4,74","'+0,23",11,"20,71","'+1,30",,12,"8,79","'+0,79",12,"21,10","'+1,33",,"0,39","'+0,04",11,1
