"","skiacademy","bib","day","run","course","split","performance"
"1","A","101","1",2,"B","1",-0.015
"2","A","101","1",2,"B","4",0.994999999999999
"3","A","101","1",2,"B","5",1.06
"4","A","101","1",2,"B","6",3.125
"5","A","101","1",2,"B","7",3.22
"6","A","101","1",4,"A","1",0.015
"7","A","101","1",4,"A","4",0.794999999999998
"8","A","101","1",4,"A","5",0.85
"9","A","101","1",4,"A","6",1.985
"10","A","101","1",4,"A","7",2.04
"11","A","101","1",5,"C","1",-0.015
"12","A","101","1",5,"C","4",1.295
"13","A","101","1",5,"C","5",1.36
"14","A","101","1",5,"C","6",3.845
"15","A","101","1",5,"C","7",3.97
"16","A","101","1",6,"C","1",-0.015
"17","A","101","1",6,"C","4",1.205
"18","A","101","1",6,"C","5",1.28
"19","A","101","1",6,"C","6",3.675
"20","A","101","1",6,"C","7",3.78
"21","A","101","1",7,"B","1",-0.015
"22","A","101","1",7,"B","4",0.864999999999998
"23","A","101","1",7,"B","5",0.92
"24","A","101","1",7,"B","6",2.765
"25","A","101","1",7,"B","7",2.85
"26","A","101","1",8,"A","1",0.015
"27","A","101","1",8,"A","4",0.715
"28","A","101","1",8,"A","5",0.77
"29","A","101","1",8,"A","6",1.765
"30","A","101","1",8,"A","7",1.81
"31","A","101","2",2,"B","1",-0.005
"32","A","101","2",2,"B","4",0.529999999999999
"33","A","101","2",2,"B","5",0.83
"34","A","101","2",2,"B","6",2.385
"35","A","101","2",2,"B","7",2.46
"36","A","101","2",3,"A","1",0.005
"37","A","101","2",3,"A","4",0.300000000000001
"38","A","101","2",3,"A","5",0.58
"39","A","101","2",3,"A","6",1.375
"40","A","101","2",3,"A","7",1.41
"41","A","101","2",4,"C","1",-0.015
"42","A","101","2",4,"C","4",0.869999999999999
"43","A","101","2",4,"C","5",NA
"44","A","101","2",4,"C","6",3.475
"45","A","101","2",4,"C","7",3.58
"46","A","101","2",5,"A","1",-0.005
"47","A","101","2",5,"A","4",0.279999999999999
"48","A","101","2",5,"A","5",NA
"49","A","101","2",5,"A","6",1.315
"50","A","101","2",5,"A","7",1.36
"51","A","101","2",6,"A","1",0.005
"52","A","101","2",6,"A","4",0.24
"53","A","101","2",6,"A","5",NA
"54","A","101","2",6,"A","6",1.055
"55","A","101","2",6,"A","7",1.08
"56","A","101","2",7,"B","1",-0.005
"57","A","101","2",7,"B","4",0.529999999999999
"58","A","101","2",7,"B","5",NA
"59","A","101","2",7,"B","6",2.855
"60","A","101","2",7,"B","7",2.94
"61","A","101","2",8,"B","1",-0.005
"62","A","101","2",8,"B","4",0.550000000000001
"63","A","101","2",8,"B","5",NA
"64","A","101","2",8,"B","6",2.595
"65","A","101","2",8,"B","7",2.66
"66","A","101","2",9,"C","1",-0.025
"67","A","101","2",9,"C","4",0.890000000000001
"68","A","101","2",9,"C","5",NA
"69","A","101","2",9,"C","6",3.445
"70","A","101","2",9,"C","7",3.54
"71","A","101","2",10,"C","1",-0.015
"72","A","101","2",10,"C","4",0.879999999999999
"73","A","101","2",10,"C","5",NA
"74","A","101","2",10,"C","6",3.295
"75","A","101","2",10,"C","7",3.4
"76","A","101","2",11,"C","1",-0.015
"77","A","101","2",11,"C","4",0.84
"78","A","101","2",11,"C","5",NA
"79","A","101","2",11,"C","6",3.075
"80","A","101","2",11,"C","7",3.18
"81","A","101","2",12,"A","1",-0.005
"82","A","101","2",12,"A","4",0.5
"83","A","101","2",12,"A","5",NA
"84","A","101","2",12,"A","6",1.225
"85","A","101","2",12,"A","7",1.26
"86","A","101","3",2,"C","1",0.035
"87","A","101","3",2,"C","4",0.899999999999999
"88","A","101","3",2,"C","5",NA
"89","A","101","3",2,"C","6",2.885
"90","A","101","3",2,"C","7",2.97
"91","A","101","3",3,"B","1",0.005
"92","A","101","3",3,"B","4",0.689999999999998
"93","A","101","3",3,"B","5",0.76
"94","A","101","3",3,"B","6",2.285
"95","A","101","3",3,"B","7",2.35
"96","A","101","3",4,"C","1",0.025
"97","A","101","3",4,"C","4",0.809999999999999
"98","A","101","3",4,"C","5",0.879999999999999
"99","A","101","3",4,"C","6",2.805
